Cell,ERK,Tot_Prot,ERK_Norm,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82
1,998.4932593,334.6902518,2.98333535,1.001657383,1.024091962,0.977394977,0.987575635,0.995779065,1.001988763,0.997723935,1.02122185,1.006788753,0.985777676,0.995182137,0.914000542,1.062684581,1.023845211,1.045027155,1.036662108,1.003522528,0.995242908,1.079743642,1.100305167,1.101487745,1.11165074,1.162227663,1.227948348,1.102769346,1.210170685,1.21124845,1.253661183,1.230352513,1.093445909,1.170136809,1.118626344,1.170347732,1.102547478,1.107345442,1.129264923,1.08358347,1.107177538,1.090243612,1.121273037,1.129940279,0.956578703
2,1240.057914,504.1481551,2.459709317,0.999883177,0.997943943,0.983389461,0.973638488,0.979929101,0.99890552,0.997234775,1.044214762,1.023722935,1.00113784,1.019456646,0.98767669,1.073298319,1.033371236,1.066188332,1.051984088,1.023675007,1.07704292,1.169158496,1.227098352,1.211836415,1.214976755,1.226529833,1.236683556,1.178160012,1.171266944,1.18257161,1.227780953,1.214657459,1.139103437,1.146605483,1.07168779,1.136301275,1.110624018,1.123800886,1.142038342,1.091683637,1.121007844,1.122911327,1.151616262,1.166560779,1.066146142
3,384.0987489,353.2354862,1.087373053,0.986185308,1.026368806,1.001593316,0.989507101,0.991639651,0.989135995,0.997814736,1.021946477,1.000899631,0.99490898,0.987016324,0.956316934,1.027742187,0.967642621,0.997294819,1.029464829,1.119745069,1.204235449,1.24918412,1.243342484,1.205949431,1.189952288,1.209268189,1.240035371,1.154703803,1.163988396,1.180227511,1.228036105,1.206325898,1.143008212,1.172917284,1.187988046,1.196599908,1.155905131,1.158396779,1.197052602,1.175327422,1.159015753,1.151388755,1.173867858,1.183814981,1.067571236
4,1690.405065,508.6822433,3.323106098,0.987181878,0.996943548,0.9634306,0.989520713,0.992384165,0.998837789,1.016499745,1.032906042,1.019262506,1.003033013,0.994614434,0.963237591,1.083831179,1.03934229,1.056484868,1.049947106,1.020796306,1.056726755,1.145984987,1.392966561,1.28825547,1.466762571,1.340656205,1.370944996,1.27912829,1.29002035,1.335954511,1.352158852,1.32965678,1.24980368,1.319385341,1.193100027,1.28125811,1.241144483,1.288423072,1.308279621,1.181386175,1.253094266,1.223935302,1.262153418,1.264328239,1.178998225
5,962.3208155,324.2322564,2.967998392,1.003076423,1.041920681,0.989430269,0.985929601,0.983188079,0.994407602,0.992774236,1.019425859,1.009595153,0.980252099,0.974572284,0.965439507,1.041087243,1.002237571,1.002785859,0.987969429,0.982461382,1.001767119,1.090803567,1.133773348,1.197096194,1.220101213,1.269102913,1.315006945,1.265958134,1.223808191,1.229154071,1.313400112,1.255767897,1.179645126,1.22816061,1.130527807,1.250379797,1.205491166,1.187902455,1.231602145,1.147349473,1.214110132,1.20109336,1.234634375,1.280445515,1.137973511
6,884.3755495,300.6897429,2.941156359,0.997479797,1.027354604,0.979402656,0.982822893,0.988976353,0.997636237,0.998371835,1.026800532,1.002353404,0.99880169,0.991230392,0.960619536,1.036776597,1.015854757,1.153790343,1.341170658,1.326691828,1.32214158,1.405480324,1.408441977,1.362710426,1.348402473,1.370321128,1.402967972,1.305464537,1.341811354,1.361002323,1.386423611,1.39457693,1.333622993,1.360151179,1.322113661,1.402638467,1.342860612,1.346649393,1.389689204,1.290612649,1.353810011,1.341889871,1.385091684,1.390041954,1.236334033
7,336.1482494,263.2526437,1.276903604,1.011283791,1.025448755,0.979534689,0.983389515,0.984843964,1.001840409,1.003557745,1.018088117,0.997507944,0.994505071,0.993353737,0.940416799,1.034714229,0.936826256,0.9900698,0.990590667,0.99400086,0.999708203,1.153210083,1.238017617,1.275254301,1.233883789,1.250182663,1.281950493,1.187052291,1.235214362,1.232031117,1.245015526,1.265444432,1.180574352,1.219095711,1.125799637,1.222501133,1.168342673,1.190490807,1.240724962,1.195005531,1.208216592,1.210949203,1.248625968,1.242869072,1.11824039
8,854.8273031,395.3400383,2.162258361,0.999254451,1.015654064,0.992484386,0.992329767,0.98923034,0.99404866,1.000927528,1.024414693,1.000432586,0.991223524,1.00310226,0.96475238,1.023788276,0.989136252,0.999706149,1.079593507,1.181018024,1.193492017,1.286300702,1.267695324,1.223218058,1.20174361,1.225729068,1.230135332,1.182084658,1.154929097,1.161930974,1.194063301,1.189144082,1.147678148,1.182286087,1.146765664,1.186072304,1.141995242,1.163816987,1.180038412,1.112149237,1.146443958,1.123730891,1.141436472,1.162138022,1.025667312
9,433.7131649,408.4852053,1.061759788,1.005399599,1.038107943,1.008974914,0.964694771,0.994168367,0.994123436,1.000693351,1.013633769,0.9912751,0.988928751,0.988232862,0.900940772,1.037487021,0.978777563,1.014940229,1.003258989,0.988408783,0.997453885,1.08527418,1.095310528,1.066746833,1.042615114,1.08144963,1.093263888,0.976405213,1.026426532,1.05126356,1.066399448,1.069637341,0.998626145,1.059411693,1.065305645,1.059333185,1.011363528,1.018424096,1.059458255,1.007600003,1.020970213,1.000089444,1.041438358,1.056819597,0.908806499
10,547.2954978,810.8221656,0.674988328,1.003403465,1.020553236,0.984342491,0.989592782,0.987713745,1.006447547,0.996542754,1.013367242,1.001451339,0.996585399,0.990071628,0.941939474,1.038137156,0.996570734,1.01754004,1.036827163,1.143767011,1.255516733,1.35136115,1.338023834,1.300973175,1.265573451,1.281910327,1.305354863,1.195874766,1.233119643,1.227496184,1.24713675,1.228824612,1.155519507,1.183328581,1.126815553,1.197050312,1.165003123,1.171714874,1.188360103,1.11866201,1.153019507,1.137680354,1.147340912,1.145941086,1.004435557
