Cell,MEK,Tot_Prot,MEK_Norm,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66
1,833.395723,3363.854602,0.247750222,-0.011094411,-0.013817412,-0.028348652,0.014654745,-0.009001201,-0.000922396,-0.006266806,-0.011000225,0.031476114,0.034320244,0.075191154,0.060953734,0.070368074,0.148497992,0.139131933,0.128134582,0.205966313,0.2419427,0.32495227,0.383940623,0.416665488,0.43375535,0.470118975,0.410774771,0.444367302,0.459979594,0.516173806,0.507056339,0.493802503,0.538872826,0.514075213,0.415159721,0.366155859,0.380160464
2,696.8908476,2161.758174,0.322372251,-0.006376814,0.001998185,-0.01721667,0.009974667,-0.00466916,-0.008319818,0.004934276,-0.001192882,0.004104256,0.016763959,0.027902127,0.04843257,0.09850496,0.012985804,0.343641404,0.248560789,0.415030348,0.194584917,0.428896979,0.437204288,0.439039262,0.425243079,0.208204415,0.186185185,0.069668365,0.175338737,0.422695337,0.436450861,0.406591176,0.181402776,0.406550672,0.190772735,0.160053647,0.165626262
3,625.1935231,1759.43711,0.355337238,0.00269297,0.024835009,-0.007465303,-0.019638032,-0.007300198,-0.006431078,0.012695256,-0.015180428,0.005095683,0.010696121,0.034637843,0.068913177,0.308801573,0.554488282,0.606526681,0.658109065,0.608537171,0.779275952,0.601506517,0.574793917,0.576779144,0.587341705,0.619131776,0.575980913,0.624067812,0.584311254,0.625910977,0.611026549,0.59196298,0.706526741,0.580791547,0.578165094,0.655809682,0.554201991
4,581.201539,1412.031095,0.411606756,0.036219388,0.018957043,0.013815432,0.019058227,-0.016179307,-0.012834016,-0.018346884,-0.033233793,-0.007559945,0.000103856,0.068766533,0.218112934,0.405883074,0.503283156,0.507772118,0.524531508,0.502305745,0.541224244,0.508203784,0.504298171,0.5143359,0.506283756,0.556110714,0.50494218,0.488780228,0.486206153,0.43134489,0.443825058,0.42986983,0.435591288,0.402805077,0.451346547,0.409769532,0.411279214
5,612.342303,1813.448598,0.337667306,0.018101506,-0.000801391,-0.015247182,-0.010489592,-0.006152177,0.001796085,-0.005993623,-0.015606268,0.009304283,0.02508836,0.036594514,0.018256078,0.021901868,-0.053081861,0.027791664,-0.017336561,0.057277596,0.019621378,0.12327403,0.139998726,0.201290141,0.23883274,0.181706462,0.208636711,0.288987074,0.316395163,0.441119124,0.476590155,0.480303668,0.382620918,0.468357565,0.367560755,0.370392691,0.337581392
6,541.612581,1781.827194,0.303964707,-0.007623837,-0.009217454,-0.02052375,0.001684035,0.007522251,0.012685681,0.001256373,-0.00136055,-0.005438949,0.0210162,0.037079127,0.028212994,0.033573071,-0.022788787,0.023762922,-0.005108699,0.038229558,0.007309961,0.054785951,0.038472237,0.07077392,0.078459054,0.005729647,0.031112258,0.059284121,0.074384095,0.139766332,0.161063668,0.202647923,0.139438174,0.254810656,0.213316628,0.180864896,0.244831774
7,639.4297194,1902.612866,0.336079783,-0.00858792,0.004301032,-0.024041167,0.000341925,0.017584744,-0.008230346,0.000203123,0.010513972,0.000335247,0.00757939,0.051384644,0.047625835,0.061065442,-0.104633265,0.065225172,-0.041295225,0.06802401,-0.130624361,0.107299319,0.069943152,0.104839735,0.112919601,-0.121362118,-0.130070492,-0.140528955,-0.130547713,0.11135891,0.094674708,0.094443553,-0.146188443,0.093478275,-0.091309194,-0.117307785,-0.034902565
8,642.1154563,1946.390946,0.329900557,0.017942231,-0.003740461,-0.007245729,0.000535524,-0.000340315,-0.015202404,-0.014635519,-0.015072532,0.011955198,0.025804007,0.024653561,0.021522405,0.087427569,0.069824522,0.299721429,0.268759328,0.502017058,0.337571666,0.529182934,0.567988134,0.57088806,0.576762518,0.346664974,0.358154036,0.357941849,0.492298408,0.570473503,0.514824797,0.53700525,0.41129183,0.538218306,0.338991082,0.379230568,0.390930738
9,621.6035004,1822.659713,0.341041993,0.004814087,-0.001636689,0.001578862,-0.001774323,0.004285528,-0.011990562,-0.015007276,0.008758639,-0.003088714,0.014060447,0.040452348,0.094460039,0.278113459,0.20060025,0.476312391,0.374518023,0.458073765,0.284648549,0.4714867,0.446335206,0.472886157,0.455388109,0.314710409,0.248710468,0.228408412,0.242704292,0.430227512,0.440418712,0.442370255,0.232226221,0.435193066,0.196359532,0.217134722,0.258925023
10,622.6042722,2039.470175,0.305277459,-0.000525819,-0.002221209,-0.002626562,-0.000390571,-0.001619249,-0.004664335,-0.003076107,-0.005599303,0.00611773,0.014605426,0.011582571,0.014108029,-0.000534827,-0.10938717,0.057905927,0.001967831,0.164406875,0.061499097,0.285124341,0.322487219,0.329212769,0.360564981,0.168140419,0.15710794,0.156060326,0.200651379,0.34590093,0.349195869,0.324094881,0.142282572,0.335774543,0.15125563,0.147632448,0.169353899
11,574.0657211,1774.025271,0.323595008,-0.012151951,-0.013699942,-0.005368156,-0.005094242,0.017015918,0.002886966,0.01086037,-0.020934559,0.014185448,0.012300149,0.006959714,0.003244772,0.010872634,-0.133444096,0.033041568,-0.068623601,0.036111806,-0.060658448,0.043305528,0.06989202,0.090977033,0.101675926,-0.028762921,-0.058594574,-0.012680571,-0.006896281,0.202626147,0.218669576,0.219017551,0.016306736,0.217879726,-0.025340513,-0.009369898,0.007016002
